"%s already exist","%s ইতিমধ্যেই বর্তমান"
"%s already exists","%s ইতিমধ্যেই বর্তমান"
"-- Please Select --","-- অনুগ্রহ করে নির্বাচন করুন --"
"Add Block Names to Hints","Add Block Names to Hints"
"Add Store Code to Urls","Add Store Code to Urls"
"Admin","অ্যাডমিন"
"Admin Base URL","Admin Base URL"
"Admin User Emails","Admin User Emails"
"Advanced","উন্নত"
"Allow countries","Allow countries"
"Allowed IPs (comma separated)","Allowed IPs (comma separated)"
"Are you sure?","আপনি কি নিশ্চিত?"
"Back","পেছনে"
"Backup options","Backup options"
"Base JavaScript URL","Base JavaScript URL"
"Base Link URL","Base Link URL"
"Base Media URL","Base Media URL"
"Base Skin URL","Base Skin URL"
"Base URL","Base URL"
"Before modifying the store view code please make sure that it is not used in index.php","Before modifying the store view code please make sure that it is not used in index.php"
"Before modifying the website code please make sure that it is not used in index.php","Before modifying the website code please make sure that it is not used in index.php"
"Block with name ""%s"" already exists","Block with name ""%s"" already exists"
"Blocks HTML output","Blocks HTML output"
"Can't retrieve request object","Can't retrieve request object"
"Cancel","বাতিল"
"Cannot complete this operation from non-admin area.","অ্যাডমিন ভিন্ন স্থান থেকে এই কার্যাদেশটি সম্পন্ন করা যাচ্ছে না"
"Cannot Delete Email Template","ইমেইল টেম্পলেট মুছা যাচ্ছে না"
"Can't retrieve entity config: %s","Can't retrieve entity config: %s"
"Category object is required for determining product request path","Category object is required for determining product request path"
"Code","কোড"
"Collections Data","Collections Data"
"Configuration","কনফিগারেশন"
"Controller file was loaded but class does not exist","Controller file was loaded but class does not exist"
"Cookie Domain","Cookie Domain"
"Cookie Lifetime","Cookie Lifetime"
"Cookie Path","Cookie Path"
"Copyright","কপিরাইট"
"Countries options","দেশের বিকল্পগুলো"
"Create Store","দোকান তৈরী করুন"
"Create Store View","Create Store View"
"Create Website","ওয়েব সাইট তৈরী করুন"
"Current package name","Current package name"
"Custom admin URL","Custom admin URL"
"Custom Design","Custom Design"
"Custom email 1","Custom email 1"
"Custom email 2","Custom email 2"
"Customer support","ব্যবহারকারীর সহকারী"
"Date From","যে তারিখ হতে"
"Date To","যে তারিখ পর্যন্ত"
"Date/time format ""%s"" is not supported.","Date/time format ""%s"" is not supported."
"Debug","Debug"
"Default","প্রাথমিক"
"Default country","প্রাথমিক দেশ"
"Default Description","প্রাথমিক বর্ননা"
"Default Keywords","প্রাথমিক মূল শব্দগুলো"
"Default no-route url","Default no-route url"
"Default Pages","প্রাথমিক পাতাগুলো"
"Default Robots","Default Robots"
"Default Store","প্রাথমিক দোকান"
"Default Store View","Default Store View"
"Default Title","প্রাথমিক শিরোনাম"
"Default web url","Default web url"
"Delete","মুছুন"
"Delete Store","দোকান মুছুন"
"Delete Store View","Delete Store View"
"Delete Website","ওয়েব সাইট মুছুন"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."
"Design","নকশা"
"Design Change","নকশা পরিবর্তন"
"Developer","ডেভেলপার"
"Developer Client Restrictions","Developer Client Restrictions"
"Disable email communications","ইমেইল যোগাযোগ অক্ষম করুন"
"Disable modules output","Disable modules output"
"Duplicate Of Template Code","Duplicate Of Template Code"
"Edit Design Change","Edit Design Change"
"Edit Store","দোকানের সম্পাদনা করুন"
"Edit Store View","Edit Store View"
"Edit Website","ওয়েব সাইট সম্পাদনা করুন"
"Empty identifier field name","Empty identifier field name"
"Empty main table name","Empty main table name"
"Enabled","সক্রিয়"
"Enabled for Admin","অ্যাডমিনের জন্য সক্ষম করা হয়েছে"
"Enabled for Frontend","Enabled for Frontend"
"Error in file: ""%s"" - %s","Error in file: ""%s"" - %s"
"Error while saving. Please try again later.","সংরক্ষনের সময় ভুল হয়েছে। অনুগ্রহ করে পরে আবার চেষ্টা করুন।"
"Error: Passwords do not match","ভুল: পাসওয়ার্ড মিলছে না"
"Exceptions Log File Name","Exceptions Log File Name"
"First Day of Week","সপ্তাহের প্রথম দিন"
"Footer","ফুটার"
"Forgot Password Email Sender","পাসওয়ার্ড ভুলে গেছি ইমেইল পাঠিয়েছেন"
"Forgot Password Email Template","পাসওয়ার্ড ভুলে গেছি ইমেইল টেম্পলেট"
"General","সাধারন"
"General contact","সাধারন যোগাযোগ"
"General Settings","সাধারন সেটিংস"
"Global","সার্বজনীন"
"Header","হেডার"
"Host","Host"
"HTML Head","HTML Head"
"Id path for specified store","Id path for specified store"
"Incorrect credit card expiration date","ক্রেডিট কার্ডের মেয়াদ ভুল হয়েছে"
"Invalid base url type","Invalid base url type"
"Invalid block name to set child %s: %s","Invalid block name to set child %s: %s"
"Invalid block type: %s","Invalid block type: %s"
"Invalid block: %s","Invalid block: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Invalid layout update argument, expected Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Invalid layout update handle"
"Invalid messages storage ""%s"" for layout messages initialization","Invalid messages storage ""%s"" for layout messages initialization"
"Invalid transactional email code: ","Invalid transactional email code: "
"Invalid websites configuration path: %s","Invalid websites configuration path: %s"
"Layout","নকশা"
"Layouts","নকশা ‍গুলো"
"Leave empty for access from any location","খালি রাখুন যদি সব স্থান থেকে লগ ইন করতে চান"
"Locale","স্থানীয়"
"Locale options","স্থানীয় বিকল্পগুলো"
"Log Settings","Log Settings"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Logging from Mage::log(). File is located in {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logging from Mage::logException(). File is located in {{base_dir}}/var/log"
"Logo Image Alt","Logo Image Alt"
"Logo Image Src","Logo Image Src"
"Manage Stores","দোকানগুলো পরিচালনা করুন"
"Match expressions in the same order as displayed in the configuration.","Match expressions in the same order as displayed in the configuration."
"Miscellaneous HTML","Miscellaneous HTML"
"Miscellaneous scripts","Miscellaneous scripts"
"Model class does not exist: %s","Model class does not exist: %s"
"Model collection resource name is not defined","Model collection resource name is not defined"
"Module ""%1$s"" can not be depended from ""%2$s""","Module ""%1$s"" can not be depended from ""%2$s"""
"Name","নাম"
"New Design Change","নতুন নকশা পরিবর্তন"
"New Store","নতুন দোকান"
"New Store View","New Store View"
"New Website","নতুন ওয়েব সাইট"
"Package","প্যাকেজ"
"Please choose to register or to checkout as a guest","অনুগ্রহ করে নিবন্ধন করুন অথবা অতিথি হিসেবে চেক আউট করুন"
"Please define flag code.","পতাকার কোড নির্ধারন করুন।"
"Please enter 6 or more characters.","অনুগ্রহ করে ৬ বা ততোধিক অক্ষর ব্যবহার করুন।"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","অনুগ্রহ করে ৬ বা ততোধিক অক্ষর ব্যবহার করুন। শুরুর এবং শেষের খালিস্থান গন্য করা হবে না।"
"Please enter a number greater than 0 in this field.","অনুগ্রহ করে ০ এর অধিক একটি সংখ্যা ব্যবহার করুন।"
"Please enter a valid $ amount. For example $100.00.","অনুগ্রহ করে একটি গ্রহনযোগ্য মুল্য (টাকা) ব্যবহার করুন। যেমন টাকা ১০০০.০০।"
"Please enter a valid credit card number.","অনুগ্রহ করে একটি সঠিক ক্রেডিট কার্ড নাম্বার ব্যবহার করুন।"
"Please enter a valid date.","অনুগ্রহ করে একটি সঠিক তারিখ ব্যবহার করুন।"
"Please enter a valid email address. For example johndoe@domain.com.","অনুগ্রহ করে একটি সঠিক ইমেইল ঠিকানা ব্যবহার করুন। যেমন johndoe@domain.com।"
"Please enter a valid number in this field.","অনুগ্রহ করে এই ফিল্ডে একটি সঠিক সংখ্যা ব্যবহার করুন।"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","অনুগ্রহ করে একটি সঠিক ফোন নাম্বার ব্যবহার করুন। যেমন (৮৮) ৮৮৮-৮৮৮৮ অথবা ১২৩-৪৫৬-৭৮৯০।"
"Please enter a valid social security number. For example 123-45-6789.","অনুগ্রহ করে একটি সঠিক জাতীয় পরিচয় সংখ্যা ব্যবহার করুন। যেমন ১২৩-৪৫-৬৭৮৯"
"Please enter a valid URL. For example http://www.example.com or www.example.com","অনুগ্রহ করে একটি সঠিক ইউআরএল ব্যবহার করুন। যেমন http://www.example.com or www.example.com।"
"Please enter a valid URL. http:// is required","অনুগ্রহ করে একটি সঠিক ইউআরএল ব্যবহার করুন। http:// প্রয়োজনীয়।"
"Please enter a valid zip code.","অনুগ্রহ করে একটি সঠিক পোষ্ট কোড ব্যবহার করুন।"
"Please enter a valid zip code. For example 90602 or 90602-1234.","অনুগ্রহ করে একটি সঠিক পোষ্ট কোড ব্যবহার করুন। যেমন ১২১২ বা ৯০৬০২-১২৩৪"
"Please enter valid password.","অনুগ্রহ করে একটি সঠিক পাসওয়ার্ড ব্যবহার করুন।"
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/"
"Please make sure your passwords match.","অনুগ্রহ করে নিশ্চিত করুন যে আপনার পাসওয়ার্ড গুলো একই কিনা ।"
"Please select an option.","অনুগ্রহ করে একটি বিকল্প নির্বাচন করুন।"
"Please select one of the above options.","অনুগ্রহ করে উপরে উল্লেখিত বিকল্পগুলো হতে একটি নির্বাচন করুন।"
"Please select one of the options.","অনুগ্রহ করে যে কোন একটি বিকল্প নির্বাচন করুন"
"Please select State/Province.","অনুগ্রহ করে প্রদেশ/বিভাগ নির্বাচন করুন"
"Please specify payment method.","অনুগ্রহ করে একটি মুল্য পরিশোধের মাধ্যম নির্বাচন করুন।"
"Please specify shipping method.","অনুগ্রহ করে একটি পরিবহন মাধ্যম নির্বাচন করুন।"
"Please use letters only (a-z or A-Z) in this field.","Please use letters only (a-z or A-Z) in this field."
"Please use letters only (a-z) in this field.","Please use letters only (a-z) in this field."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Please use numbers only in this field. please avoid spaces or other characters such as dots or commas."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006."
"Please wait, loading...","অনুগ্রহ করে অপেক্ষা করুন, লোড করা হচ্ছে"
"Polls","Polls"
"Port (25)","Port (25)"
"Profiler","Profiler"
"Prototype Deprecation Log","Prototype Deprecation Log"
"Request path for specified store","Request path for specified store"
"Requested invalid store ""%s""","Requested invalid store ""%s"""
"Resource is not set","Resource is not set"
"Root Category","Root Category"
"Sales representative","Sales representative"
"Save","সংরক্ষন করুন"
"Save Store","দোকান সংরক্ষন করুন"
"Save Store View","Save Store View"
"Save Website","ওয়েব সাইট সংরক্ষন করুন"
"Search Engines Optimization","Search Engines Optimization"
"Secure","নিরাপদ"
"Select Date","তারিখ নির্বাচন করুন"
"Sender email","প্রেরকের ইমেইল"
"Sender name","প্রেরকের নাম"
"Services","সেবা সমূহ"
"Session Cookie management","Session Cookie management"
"Session Validation Settings","Session Validation Settings"
"Set as default","প্রাথমিক হিসেবে নির্ধারন করুন"
"Skin (Images / CSS)","Skin (Images / CSS)"
"SMTP settings (Windows server only)","SMTP settings (Windows server only)"
"Sort order","অর্ডারগুলো সাজান"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Specified date/time ""%1$s"" do not match format ""%2$s""."
"Specify either category or product, or both.","Specify either category or product, or both."
"Start date can't be greater than end date","Start date can't be greater than end date"
"Startup page","শুরুর পাতা"
"Status","অবস্থা"
"Store","দোকান"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter"
"Store doesn't exist","দোকানটি পাওয়া যাচ্ছে না"
"Store Email Addresses","ইমেইল ঠিকানা সংরক্ষন করুন"
"Store Information","তথ্য সংরক্ষন করুন"
"Store Name","দোকানের নাম"
"Store View","Store View"
"Store view doesn't exist","Store view doesn't exist"
"Store View Information","Store View Information"
"Store View Name","Store View Name"
"Store view was successfully deleted.","Store view was successfully deleted."
"Store View was successfully saved","Store View was successfully saved"
"Store was successfully deleted.","Store was successfully deleted."
"Store was successfully saved","Store was successfully saved"
"Store with the same code","Store with the same code"
