"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s আপনার পছন্দ তালিকাতে যুক্ত করা হয়েছে। আরো কিছু কিনতে <a href=""%2$s"">এখানে</a> ক্লিক করুন"
"%s's Wishlist","%sএর পছন্দ তালিকা"
"* Required Fields","* প্রয়োজনীয় ফিল্ডগুলো"
"Add All to Cart","সবগুলো কার্টে যোগ করুন"
"Add to Cart","কার্টে যোগ করুন"
"Add to Wishlist","পছন্দ তালিকায় যোগ করুন"
"Added On","যোগ করা হয়েছে"
"Are you sure you want to remove this product from your wishlist?","এই পণ্যটি পছন্দ তালিকা হতে মুছে ফেলতে আপনি নিশ্চিত?"
"Are you sure you would like to remove this item from the wishlist?","এই পণ্যটি পছন্দ তালিকা হতে মুছে ফেলতে আপনি নিশ্চিত?"
"Are You sure?","আপনি কি নিশ্চিত?"
"Back","পিছনে"
"Cannot create wishlist","পছন্দ তালিকা তৈরী করা যায়নি"
"Cannot specify product","পণ্য চিহ্নিত করা যায়নি"
"Can't save description %s","বর্ননা সংরক্ষন করা যায়নি %s"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Check this checkbox if you want to add a link to an rss feed to your wishlist."
"Comment","মন্তব্য"
"Email address can't be empty.","ইমেইল ঠিকানা প্রয়োজন।"
"Email addresses, separated by commas","ইমেইল ঠিকানাগুলো, কমা দিয়ে আলাদা করা"
"Email Sender","ইমেইল পাঠিয়েছেন"
"Email Template","ইমেইল টেমপ্লেট"
"Enabled","সক্রিয়"
"General Options","সাধারণ বিকল্পসমূহ"
"Go to Wishlist","পছন্দ তালিকা দেখুন"
"Last Added Items","সর্বশেষ যুক্ত পণ্য"
"Message","বার্তা"
"My Wishlist","আমার পছন্দ তালিকা"
"My Wishlist (%d item)","আমার পছন্দ তালিকা (%d পণ্য)"
"My Wishlist (%d items)","আমার পছন্দ তালিকা (%d পণ্যগুলো)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","অনুগ্রহ করে সঠিক ইমেইল ঠিকানাগুলো লিখুন, কমা দিয়ে আলাদা করে. উদাহরন স্বরুপ johndoe@domain.com, johnsmith@domain.com."
"Please, enter your comments...","অনুগ্রহ করে আপনার মন্তব্য দিন..."
"Product","পণ্য"
"Remove Item","পণ্য মুছুন"
"RSS Feed","RSS ফিড"
"RSS link to %s's wishlist","RSS link to %s's wishlist"
"Share options","শেয়ার করার বিকল্পগুলো"
"Share Wishlist","পছন্দ তালিকা শেয়ার করুন"
"Share Your Wishlist","আপনার পছন্দ তালিকা শেয়ার করুন"
"Sharing Information","তথ্য শেয়ার করুন"
"There was an error while adding item to wishlist.","পছন্দ তালিকাতে যোগ করার সময় ভুল হয়েছে"
"There was an error while adding item to wishlist: %s","পছন্দ তালিকাতে যোগ করার সময় ভুল হয়েছে: %s"
"There was an error while deleting item from wishlist.","পছন্দ তালিকা থেকে মুছার সময় ভুল হয়েছে।"
"There was an error while deleting item from wishlist: %s","পছন্দ তালিকা থেকে মুছার সময় ভুল হয়েছে: %s"
"This product(s) is currently out of stock:","পণ্যটির (গুলোর) মজুত শেষ:"
"Update Wishlist","পছন্দ তালিকা হালনাগাদ করুন"
"View Product","পণ্য দেখুন"
"Wishlist","পছন্দ তালিকা"
"Wishlist is empty now.","পছন্দ তালিকা এখন খালি আছে"
"Wishlist Section","পছন্দ তালিকা বিভাগ"
"Wishlist Sharing","পছন্দ তালিকা শেয়ার করা"
"You have no items in your wishlist.","আপনার পছন্দ তালিকায় কোন পণ্য নেই।"
"You input not valid email address.","আপনি ভুল ইমেইল ঠিকানা দিয়েছেন"
"Your Wishlist was successfully shared","আপনার পছন্দ তালিকাটি শেয়ার করা সম্পন্ন হয়েছে"
