"%s and greater","%s এবং এরচে বড়"
"Advanced Search","উন্নত অনুসন্ধান"
"All","সব"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Autogenerated site map","স্বয়ংক্রিয় ভাবে তৈরী সাইট ম্যাপ"
"Catalog Advanced Search","ক্যাটালগ উন্নত অনুসন্ধান"
"Catalog Search","ক্যাটালগ অনুসন্ধান"
"Don't see what you're looking for?","আপনি যা খুজঁছিলেন তা কি পাননি?"
"Go","যাও"
"Go to Home Page","হোম পেইজে যাও"
"Grid","গ্রীড"
"Home","হোম"
"List","লিস্ট"
"Maximum Query Length","ক্যোয়ারীর সর্বাধিক দৈর্ঘ্য"
"Maximum Query Words Count","ক্যোয়ারীর শব্দের সর্বাধিক সংখ্যা"
"Maximum Search query  length is %s. Your query was cut.","সর্বাধিক অনুসন্ধান ক্যোয়ারীর দৈর্ঘ্য হলো %s। আপনার ক্যোয়ারী ছোট করা হয়েছে"
"Minimal Query Length","ক্যোয়ারীর সর্বনিম্ন দৈর্ঘ্য"
"Modify your search","আপনার অনুসন্ধান পরিবর্তন করুন"
"Name","নাম"
"No","না"
"No items were found using the following search criteria.","নিম্নোক্ত অনুসন্ধান নির্ণায়ক ব্যবহার করে কোন আইটেম পাওয়া যায়নি।"
"Please enter ""0"" to enable layered navigation for any number of results","যে কোন সংখ্যক অনুসন্ধান ফলাফলের জন্য লেয়ার্ড নেভিগেশন ব্যবহার করতে অনুগ্রহ করে ""0"" ব্যবহার করুন"
"Popular Search Terms","অনুসন্ধানের জন্য অধিক ব্যবহৃত শব্দগুলো"
"Popular search terms","অনুসন্ধানের জন্য অধিক ব্যবহৃত শব্দগুলো"
"Price","মূল্য"
"Relevance","প্রাসঙ্গিকতা"
"Required Fields","প্রয়োজনীয় ফিল্ডগুলো"
"Results","ফলাফল"
"Search","অনুসন্ধান"
"Search entire store here...","এখানে পুরো দোকান অনুসন্ধান করুন..."
"Search results for '%s'","'%s' এর জন্য অনুসন্ধান ফলাফল"
"Search results for: '%s'","'%s' এর জন্য অনুসন্ধান ফলাফল"
"Search Settings","অনুসন্ধান সেটিংস"
"Search Site","সাইট অনুসন্ধান করুন"
"Search Terms","অনুসন্ধানের জন্য ব্যবহৃত শব্দগুলো"
"Search Type","অনুসন্ধান প্রকার"
"Subscribe to Feed","ফিডে নিবন্ধন করুন"
"There are no search terms available.","অনুসন্ধানের জন্য ব্যবহৃত কোন শব্দ পাওয়া যায় নি।"
"up to %s","%s পর্যন্ত"
"Yes","হ্যাঁ"
"You have to specify at least one search term","অনুসন্ধানের জন্য অন্তত একটি শব্দ উল্লেখ করতে হবে"
"Your search returns no results.","আপনার অনুসন্ধানে কোন ফলাফল পাওয়া যায় নি।"
"Seller","বিক্রেতা"
"Phone","ফোন"
"Location","স্থান"
"Email","ইমেইল"
"Seller ID","বিক্রেতার আইডি"
"Negotiable","তর্কযোগ্য"
