# of Use,# কার্যকরী
%1$s incl tax.,%1$s ট্যাক্স সহকারে.
%s - %s,%s - %s
%s Item(s),%s পদ(গুলো)
(Copy data from: %s),(তথ্য অনুলিপি করুন: %s থেকে)
(Will make search for the query above return results for this search.),(Will make search for the query above return results for this search.)
* Required Fields,* প্রয়োজনীয় ফিল্ডগুলো
-- Please Select --,-- নির্বাচন করুন --
A name is required,নাম উল্লেখ আবশ্যক 
Action,সিদ্ধান্ত 
Add Attribute,এট্রিবিউট যোগ করুন 
Add Design Change,ডিজাইনে পরিবর্তন আনুন 
Add Group,গ্রুপ যোগ করুন
Add Items to Cart,কার্টে পণ্য যোগ করুন
Add New,নতুন যোগ করুন
Add New Attribute,নতুন এট্রিবিউট যোগ করুন
Add New Attribute Set,নতুন এট্রিবিউট সেট যোগ করুন
Add New Group,নতুন গ্রুপ যোগ করুন
Add New Images,নতুন ছবি যোগ করুন
Add New Option,নতুন অপশন যুক্ত করুন
Add New Row,নতুন সারি যোগ করুন
Add New Search Term,নতুন অনুসন্ধান শব্দ যুক্ত করুন
Add New Set,নতুন সেট যোগ করুন
Add Option,অপশন যুক্ত করুন
Add Product,পণ্য যুক্ত করুন
Add Product To Websites,সাইটে পণ্য যুক্ত করুন
Add Root Category,প্রধান বিভাগ যোগ করুন
Add Subcategory,উপবিভাগ যোগ করুন
Add Tax,ট্যাক্স যোগ করুন
Add Tier,টিয়ার যুক্ত করুন 
Add to Cart,কার্টে যোগ করুন
Add to My Wishlist,আমার পছন্দ তালিকাতে যোগ করুন 
Add to Wishlist,পছন্দ তালিকাতে যোগ করুন 
Additional Information,অতিরিক্ত তথ্য
All,সব
ALL GROUPS,সবগুলো গ্রুপ
All Product Types,সকল পণ্যের প্রকার
All products of this set will be deleted! Are you sure you want to delete this attribute set?,এই সেটের সকল পণ্য ‍মুছে যাবে! এই এট্রিবিউট সেটটি মুছে ফেলতে আপনি নিশ্চিত?
Allow HTML-tags on Front-end,ফ্রন্ট এন্ডে HTML ট্যাগের অনুমতি দিন
and,এবং
and above,এবং উপরোক্ত
Apply To,প্রয়োগ করুন
Apply To Configurable/Grouped Product,কনফিগারযোগ্য / গোষ্ঠীবদ্ধকৃত প্রোডাক্ট প্রয়োগ
Approved,অনুমোদিত
Are you sure you want to delete this category?,এই ক্যাটাগরি মুছে ফেলতে আপনি নিশ্চিত?
Are you sure you would like to remove all products from your comparison?,আপনার তুলনার সব পণ্যগুলো মুছে ফেলতে আপনি নিশ্চিত?
Are you sure you would like to remove this item from the compare products?,আপনার তুলনার লিস্ট থেকে এই পণ্যটি মুছে ফেলতে আপনি নিশ্চিত?
Are you sure?,আপনি কি নিশ্চিত?
As low as:,সর্বনিম্ন:
Assign,নিযুক্ত করুন 
Assign product link,পণ্য লিংক নিযুক্ত করুন 
Assign product to category,বিভাগ অনুসারে পণ্য নিযুক্ত করুন 
Assigned Products,নিযুক্ত পণ্যসমূহ
Associated Products,সংযুক্ত পণ্যসমূহ
Attrib. Set Name,নাম সংগঠন করুন
Attribute Code,এট্রিবিউট কোড
"Attribute group with the ""/name/"" name already exists","/name/"" নামের এট্রিবিউট ইতিমধ্যেই আছে"
Attribute Information,তথ্য বিশেষণ
